sample_id,region,country,agroecological_zone,latitude,longitude,ph,organic_matter_percent,available_nitrogen_ppm,available_phosphorus_ppm,available_potassium_ppm,cec_cmol_per_kg,electrical_conductivity_ds_per_m,texture_class,calcium_ppm,magnesium_ppm,sulfur_ppm,zinc_ppm,iron_ppm,manganese_ppm,boron_ppm,sampling_date,crop_grown,yield_tons_per_ha,fertilizer_applied_kg_per_ha
SSA001,west_africa,nigeria,guinea_savanna,-9.0765,7.3986,6.2,2.8,245,18,185,12.5,0.8,loamy_sand,720,145,12,1.8,15,8.5,0.4,2023-03-15,maize,4.2,150
SSA002,west_africa,nigeria,sudan_savanna,12.4539,7.5248,5.8,1.9,165,8,125,8.2,0.6,sandy_loam,480,95,8,1.2,12,6.2,0.3,2023-04-12,sorghum,2.8,80
SSA003,west_africa,ghana,forest_zone,6.4531,-1.432,5.1,4.2,320,12,95,18.5,1.2,clay_loam,1250,285,18,2.4,25,12,0.6,2023-02-28,cassava,15.5,75
SSA004,west_africa,ghana,transitional,7.8695,-1.0934,6.7,3.5,285,22,220,15.8,0.9,loam,895,195,15,2.1,18,9.8,0.5,2023-03-22,maize,5.8,180
SSA005,east_africa,kenya,highlands,-0.4531,36.9548,5.9,3.8,295,15,165,16.2,0.7,clay,985,225,14,1.9,22,11.5,0.4,2023-01-18,wheat,3.2,120
SSA006,east_africa,kenya,semi_arid,1.2875,37.2634,7.1,2.1,185,9,145,11.2,1.4,sandy_clay,625,125,9,1.5,14,7.8,0.3,2023-05-08,maize,3.8,100
SSA007,east_africa,ethiopia,highlands,9.1456,40.4897,6.4,4.1,385,28,195,19.8,0.6,clay_loam,1185,265,22,2.8,28,14.2,0.7,2023-02-14,teff,1.8,90
SSA008,east_africa,tanzania,coastal,-6.7924,39.2083,5.2,2.4,165,6,85,9.5,2.1,sandy,385,85,6,0.8,8,4.5,0.2,2023-04-25,rice,2.5,85
SSA009,southern_africa,south_africa,highveld,-26.2041,28.0473,6.8,2.9,225,35,285,14.5,0.5,clay_loam,845,185,16,2.5,19,10.8,0.5,2023-03-08,maize,7.2,220
SSA010,southern_africa,zimbabwe,plateau,-17.8292,31.0522,5.5,2.2,145,12,125,10.8,0.8,sandy_loam,565,115,10,1.6,13,7.2,0.3,2023-04-18,maize,3.5,95
SSA011,southern_africa,zambia,plateau,-15.4167,28.2833,6.1,3.2,205,18,155,13.2,0.7,loam,725,165,13,2.0,16,8.9,0.4,2023-02-22,maize,4.8,140
SSA012,central_africa,cameroon,forest,3.8480,11.5021,4.8,5.1,285,8,75,22.5,1.8,clay,1485,385,12,1.8,35,18.5,0.8,2023-03-12,plantain,12.8,60
SSA013,west_africa,mali,sahel,16.7734,-3.0087,7.2,1.2,95,4,65,6.5,1.1,sandy,285,55,5,0.9,8,3.8,0.2,2023-05-15,millet,1.2,45
SSA014,west_africa,burkina_faso,sudan_savanna,12.2383,-1.5616,6.5,1.8,155,11,105,9.8,0.9,sandy_loam,485,95,8,1.4,11,6.5,0.3,2023-04-02,sorghum,2.1,70
SSA015,east_africa,uganda,highlands,1.3733,32.2903,5.7,3.9,345,19,145,17.8,0.8,clay_loam,1085,245,17,2.2,24,13.2,0.6,2023-01-28,bananas,25.4,85
SSA016,west_africa,senegal,sahel,14.4974,-14.4524,7.8,1.5,115,6,85,7.2,1.3,sandy_loam,345,65,6,1.1,9,4.2,0.2,2023-05-20,millet,1.5,50
SSA017,east_africa,rwanda,highlands,-1.9403,29.8739,5.3,4.5,385,22,125,20.5,0.6,clay,1285,295,19,2.6,32,16.8,0.7,2023-02-08,beans,2.8,75
SSA018,southern_africa,malawi,plateau,-13.2543,34.3015,5.9,2.6,195,14,135,12.8,0.7,sandy_clay_loam,685,145,11,1.7,15,8.2,0.4,2023-03-18,maize,3.2,110
SSA019,west_africa,ivory_coast,forest,7.5399,-5.5471,5.4,3.8,295,16,115,16.8,1.1,clay_loam,1025,235,14,2.0,21,11.8,0.5,2023-02-25,cocoa,1.8,90
SSA020,east_africa,kenya,arid,2.0469,38.4619,8.2,1.8,125,7,95,8.5,2.8,sandy,425,85,7,1.0,10,5.2,0.2,2023-06-10,sorghum,1.8,60
SSA021,west_africa,nigeria,forest,6.5244,3.3792,4.9,4.8,385,14,105,21.8,1.5,clay,1485,385,16,2.2,28,15.8,0.7,2023-02-18,yam,18.5,65
SSA022,southern_africa,botswana,semi_arid,-22.3285,24.6849,7.5,1.4,105,8,125,7.8,1.6,sandy_loam,385,75,8,1.2,11,5.8,0.3,2023-05-25,sorghum,2.2,85
SSA023,east_africa,tanzania,highlands,-3.3869,36.6830,6.0,3.2,265,21,175,15.2,0.8,loam,825,185,15,2.1,19,10.5,0.5,2023-02-12,coffee,2.5,100
